"","TP","Site","Transect_ID","PQ","Category","Total_cover"
"280","April_2022","CB","CB2","4","Platygyra",0
"281","April_2022","CB","CB2","4","Pocilloporidae",0
"282","April_2022","CB","CB2","4","Porites",0
"283","April_2022","CB","CB2","4","Red Turf",0
"284","April_2022","CB","CB2","4","Rubble and Rock",3
"285","April_2022","CB","CB2","4","Sand",70
"286","April_2022","CB","CB2","5","Acanthastrea",0
"287","April_2022","CB","CB2","5","Black Turf",0
"288","April_2022","CB","CB2","5","Branching Acropora",3
"289","April_2022","CB","CB2","5","Encrusting Montipora",0
"290","April_2022","CB","CB2","5","Goniopora",0
"291","April_2022","CB","CB2","5","Green Turf",0
"292","April_2022","CB","CB2","5","Macroalgae",6
"293","April_2022","CB","CB2","5","Other",0
"294","April_2022","CB","CB2","5","Other Turf",1
"295","April_2022","CB","CB2","5","Other benthic invertebrates",0
"296","April_2022","CB","CB2","5","Other hard coral",0
"297","April_2022","CB","CB2","5","Plating Acropora",0
"298","April_2022","CB","CB2","5","Plating Montipora",0
"299","April_2022","CB","CB2","5","Platygyra",0
"300","April_2022","CB","CB2","5","Pocilloporidae",0
"301","April_2022","CB","CB2","5","Porites",0
"302","April_2022","CB","CB2","5","Red Turf",0
"303","April_2022","CB","CB2","5","Rubble and Rock",1
"304","April_2022","CB","CB2","5","Sand",89
"305","April_2022","CB","CB2","6","Acanthastrea",0
"306","April_2022","CB","CB2","6","Black Turf",0
"307","April_2022","CB","CB2","6","Branching Acropora",0
"308","April_2022","CB","CB2","6","Encrusting Montipora",3
"309","April_2022","CB","CB2","6","Goniopora",0
"310","April_2022","CB","CB2","6","Green Turf",3
"311","April_2022","CB","CB2","6","Macroalgae",41
"312","April_2022","CB","CB2","6","Other",0
"313","April_2022","CB","CB2","6","Other Turf",8
"314","April_2022","CB","CB2","6","Other benthic invertebrates",0
"315","April_2022","CB","CB2","6","Other hard coral",0
"316","April_2022","CB","CB2","6","Plating Acropora",10
"317","April_2022","CB","CB2","6","Plating Montipora",2
"318","April_2022","CB","CB2","6","Platygyra",4
"319","April_2022","CB","CB2","6","Pocilloporidae",0
"320","April_2022","CB","CB2","6","Porites",5
"321","April_2022","CB","CB2","6","Red Turf",0
"322","April_2022","CB","CB2","6","Rubble and Rock",0
"323","April_2022","CB","CB2","6","Sand",24
"324","April_2022","CB","CB2","7","Acanthastrea",8
"325","April_2022","CB","CB2","7","Black Turf",0
"326","April_2022","CB","CB2","7","Branching Acropora",0
"327","April_2022","CB","CB2","7","Encrusting Montipora",0
"328","April_2022","CB","CB2","7","Goniopora",0
"329","April_2022","CB","CB2","7","Green Turf",0
"330","April_2022","CB","CB2","7","Macroalgae",37
"331","April_2022","CB","CB2","7","Other",0
"332","April_2022","CB","CB2","7","Other Turf",33
"333","April_2022","CB","CB2","7","Other benthic invertebrates",0
"334","April_2022","CB","CB2","7","Other hard coral",0
"335","April_2022","CB","CB2","7","Plating Acropora",0
"336","April_2022","CB","CB2","7","Plating Montipora",0
"337","April_2022","CB","CB2","7","Platygyra",0
"338","April_2022","CB","CB2","7","Pocilloporidae",0
"339","April_2022","CB","CB2","7","Porites",0
"340","April_2022","CB","CB2","7","Red Turf",0
"341","April_2022","CB","CB2","7","Rubble and Rock",0
"342","April_2022","CB","CB2","7","Sand",22
"343","April_2022","CB","CB2","8","Acanthastrea",0
"344","April_2022","CB","CB2","8","Black Turf",0
"345","April_2022","CB","CB2","8","Branching Acropora",0
"346","April_2022","CB","CB2","8","Encrusting Montipora",0
"347","April_2022","CB","CB2","8","Goniopora",0
"348","April_2022","CB","CB2","8","Green Turf",1
"349","April_2022","CB","CB2","8","Macroalgae",50
"350","April_2022","CB","CB2","8","Other",0
"351","April_2022","CB","CB2","8","Other Turf",13
"352","April_2022","CB","CB2","8","Other benthic invertebrates",6
"353","April_2022","CB","CB2","8","Other hard coral",1
"354","April_2022","CB","CB2","8","Plating Acropora",0
"355","April_2022","CB","CB2","8","Plating Montipora",0
"356","April_2022","CB","CB2","8","Platygyra",0
"357","April_2022","CB","CB2","8","Pocilloporidae",0
"358","April_2022","CB","CB2","8","Porites",0
"359","April_2022","CB","CB2","8","Red Turf",0
"360","April_2022","CB","CB2","8","Rubble and Rock",0
"361","April_2022","CB","CB2","8","Sand",29
"362","April_2022","CB","CB2","9","Acanthastrea",0
