"","TP","Site","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"122","March_2021","SB","Branching Acropora",1.532,0.1,25,3.71827917187508,0.743655834375015
"123","March_2021","SB","Encrusting Montipora",4.732,2.8,25,6.35948897318016,1.27189779463603
"124","March_2021","SB","Goniopora",0.092,0,25,0.160519988371127,0.0321039976742253
"125","March_2021","SB","Other hard coral",0.568,0,25,1.35576546644322,0.271153093288644
"126","March_2021","SB","Plating Acropora",8.472,0.5,25,11.7099857671419,2.34199715342839
"127","March_2021","SB","Plating Montipora",1.732,0.3,25,2.88772113150376,0.577544226300751
"128","March_2021","SB","Platygyra",2.128,0.1,25,3.60179584836972,0.720359169673944
"129","March_2021","SB","Pocilloporidae",3.184,1.4,25,5.04146804016449,1.0082936080329
"130","March_2021","SB","Porites",0.676,0,25,1.00551810857223,0.201103621714445
"131","March_2023","CE","Acanthastrea",1.67,1.05,10,1.95166595502407,0.617170964968379
"132","March_2023","CE","Branching Acropora",2.52,0.25,10,4.01602346164019,1.26997812754568
"133","March_2023","CE","Encrusting Montipora",6.98,8.15,10,6.04424427773141,1.91135786520706
"134","March_2023","CE","Goniopora",0.04,0,10,0.0966091783079296,0.0305505046330389
"135","March_2023","CE","Other hard coral",2.49,1.7,10,2.73351625404187,0.864413738386376
"136","March_2023","CE","Plating Acropora",7.48,0.1,10,12.255230175997,3.87544406057766
"137","March_2023","CE","Plating Montipora",0.89,0.25,10,1.18457681144881,0.374596078759805
"138","March_2023","CE","Platygyra",1.92,1.95,10,1.35875760245241,0.42967688118192
"139","March_2023","CE","Pocilloporidae",1.82,1.4,10,1.84378837059885,0.583057077442299
"140","March_2023","CE","Porites",0.02,0,10,0.0632455532033676,0.02
"141","March_2023","EB","Acanthastrea",2.13333333333333,0,24,3.31789176994993,0.677261821513089
"142","March_2023","EB","Branching Acropora",3.62083333333333,0.1,24,8.7202901410978,1.78002177122603
"143","March_2023","EB","Encrusting Montipora",13.4333333333333,12.25,24,11.4480173588825,2.33681675798221
"144","March_2023","EB","Goniopora",0.908333333333333,0.15,24,2.10153498076104,0.428974031622852
"145","March_2023","EB","Other hard coral",2.10416666666667,0,24,6.26005133793831,1.27782762846467
"146","March_2023","EB","Plating Acropora",8.18333333333333,0.3,24,12.9162070979487,2.63650973350739
"147","March_2023","EB","Plating Montipora",5.68333333333333,3.4,24,5.87867677115439,1.1999798710067
"148","March_2023","EB","Platygyra",0.633333333333333,0.35,24,0.805236485202608,0.164368209251547
"149","March_2023","EB","Pocilloporidae",0.320833333333333,0,24,0.611469482097211,0.124815685368505
"150","March_2023","EB","Porites",0.325,0.15,24,0.472044581534967,0.0963556967171899
"151","March_2023","SB","Acanthastrea",0.272,0,25,0.89745937698223,0.179491875396446
"152","March_2023","SB","Branching Acropora",0.5,0,25,1.14637108593451,0.229274217186902
"153","March_2023","SB","Encrusting Montipora",9.672,6.2,25,9.53220506143953,1.90644101228791
"154","March_2023","SB","Goniopora",0.196,0.1,25,0.36226141573915,0.07245228314783
"155","March_2023","SB","Other hard coral",1.072,0,25,2.19801425533745,0.439602851067491
"156","March_2023","SB","Plating Acropora",8.136,0.2,25,16.1262436212942,3.22524872425885
"157","March_2023","SB","Plating Montipora",3.996,1.3,25,5.12635998215758,1.02527199643152
"158","March_2023","SB","Platygyra",1.228,0.2,25,1.84131293737195,0.368262587474391
"159","March_2023","SB","Pocilloporidae",3.148,0.6,25,5.30810072750446,1.06162014550089
"160","March_2023","SB","Porites",0.868,0.3,25,1.13126772545966,0.226253545091931
