"","TP","Transect_group","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"117","Dec_2022","SB_west","Goniopora",0.414285714285714,0.2,7,0.418045338165497,0.158006285933686
"118","Dec_2022","SB_west","Platygyra",0.814285714285714,0.2,7,0.919109299681983,0.347390662092181
"119","Dec_2022","SB_west","Porites",1.31428571428571,0.9,7,1.50158646263274,0.567546336026773
"120","Dec_2022","SB_west","Other hard coral",0.3,0,7,0.665832811847939,0.251661147842358
"121","March_2023","SB_East","Branching Acropora",0.185714285714286,0,7,0.285356919363403,0.107854777646725
"122","March_2023","SB_East","Plating Acropora",8.24285714285714,10.8,7,5.86937167076032,2.21841397043421
"123","March_2023","SB_East","Encrusting Montipora",11.1,6.7,7,9.98548947222919,3.77416026611029
"124","March_2023","SB_East","Plating Montipora",5.7,6.9,7,4.07267315981367,1.5393257645878
"125","March_2023","SB_East","Pocilloporidae",0.2,0,7,0.346410161513775,0.130930734141595
"126","March_2023","SB_East","Acanthastrea",0.2,0,7,0.447213595499958,0.169030850945703
"127","March_2023","SB_East","Goniopora",0.3,0.1,7,0.58309518948453,0.220389266007736
"128","March_2023","SB_East","Platygyra",0.471428571428571,0,7,1.0750415274371,0.406327504380797
"129","March_2023","SB_East","Porites",0.7,0.6,7,0.787400787401181,0.297609523657138
"130","March_2023","SB_East","Other hard coral",1.27142857142857,0.2,7,2.17463735345635,0.821935661285308
"131","March_2023","SB_middle","Branching Acropora",0.818181818181818,0,11,1.57659010641205,0.475359802832297
"132","March_2023","SB_middle","Plating Acropora",6.27272727272727,0,11,18.6537444449682,5.62431556901235
"133","March_2023","SB_middle","Encrusting Montipora",7.79090909090909,0.8,11,10.2870262511043,3.10165511667721
"134","March_2023","SB_middle","Plating Montipora",1.17272727272727,0.1,11,1.91681554099027,0.577941631071529
"135","March_2023","SB_middle","Pocilloporidae",1.04545454545455,0.3,11,1.55329561665746,0.468336249905137
"136","March_2023","SB_middle","Acanthastrea",0,0,11,0,0
"137","March_2023","SB_middle","Goniopora",0.1,0,11,0.126491106406735,0.0381385035698237
"138","March_2023","SB_middle","Platygyra",1.05454545454545,0,11,1.88380659111472,0.567989058211453
"139","March_2023","SB_middle","Porites",0.381818181818182,0.2,11,0.444563115469967,0.134040822695029
"140","March_2023","SB_middle","Other hard coral",0.590909090909091,0,11,1.25972579989023,0.379821619724203
"141","March_2023","SB_west","Branching Acropora",0.314285714285714,0,7,0.8315218406203,0.314285714285714
"142","March_2023","SB_west","Plating Acropora",10.9571428571429,0.4,7,20.2527246844186,7.65481041234723
"143","March_2023","SB_west","Encrusting Montipora",11.2,9.1,7,8.70517087712815,3.29024532302901
"144","March_2023","SB_west","Plating Montipora",6.72857142857143,4.3,7,7.46295613585624,2.82073228297988
"145","March_2023","SB_west","Pocilloporidae",9.4,9.4,7,6.68705216569055,2.52746814779044
"146","March_2023","SB_west","Acanthastrea",0.771428571428571,0,7,1.60905177637254,0.608164406701207
"147","March_2023","SB_west","Goniopora",0.242857142857143,0.2,7,0.35523298860111,0.134265449332111
"148","March_2023","SB_west","Platygyra",2.25714285714286,1.5,7,2.12905076098649,0.804705548886152
"149","March_2023","SB_west","Porites",1.8,2.6,7,1.64012194668567,0.619907827249918
"150","March_2023","SB_west","Other hard coral",1.62857142857143,0.1,7,3.33452359701466,1.26033145408248
